game_week,week_day,date,team,opponent,team_xg,opponent_xg,season,game_id,time,team_goals,opponent_goals,fpl_game_week,team_elo,opponent_elo,team_goals_scored_xg_3game_form,team_goals_conceded_xg_3game_form,opponent_goals_scored_xg_3game_form,opponent_goals_conceded_xg_3game_form,team_goals_scored_actual_3game_form,team_goals_conceded_actual_3game_form,opponent_goals_scored_actual_3game_form,opponent_goals_conceded_actual_3game_form,team_goals_scored_xg_5game_form,team_goals_conceded_xg_5game_form,opponent_goals_scored_xg_5game_form,opponent_goals_conceded_xg_5game_form,team_goals_scored_actual_5game_form,team_goals_conceded_actual_5game_form,opponent_goals_scored_actual_5game_form,opponent_goals_conceded_actual_5game_form,team_goals_scored_xg_10game_form,team_goals_conceded_xg_10game_form,opponent_goals_scored_xg_10game_form,opponent_goals_conceded_xg_10game_form,team_goals_scored_actual_10game_form,team_goals_conceded_actual_10game_form,opponent_goals_scored_actual_10game_form,opponent_goals_conceded_actual_10game_form,elodiff,home
7,Sat,30/09/2017,West Ham,Swansea City,0.7,0.2,2017-2018,64,15:00,1,0,7,1667.865234,1658.412476,0.866666667,0.766666667,1.033333333,1.1,1.333333333,1,0.333333333,1,1.04,1.34,0.84,1.44,1.2,1.8,0.6,1.4,1,1.48,1.48,1,0.9,1.7,1.7,0.9,9.452758,1
7,Sat,30/09/2017,Manchester Utd,Crystal Palace,2.8,0.4,2017-2018,65,15:00,4,0,7,1916.453125,1604.114502,2.066666667,1.1,1.533333333,1.933333333,2.333333333,0.666666667,0,2.333333333,2.4,0.92,1.24,1.8,2.6,0.4,0,2,1,1.48,1.48,1,0.9,1.7,1.7,0.9,312.338623,1
7,Sat,30/09/2017,Crystal Palace,Manchester Utd,0.4,2.8,2017-2018,65,15:00,0,4,7,1604.114502,1916.453125,1.533333333,1.933333333,2.066666667,1.1,0,2.333333333,2.333333333,0.666666667,1.24,1.8,2.4,0.92,0,2,2.6,0.4,1,1.48,1.48,1,0.9,1.7,1.7,0.9,-312.338623,0
7,Sat,30/09/2017,Leicester City,Bournemouth,0.6,1.4,2017-2018,66,15:00,0,0,7,1715.842041,1642.114746,1.833333333,1.066666667,0.7,1.7,1.333333333,2,1,2,1.68,1.24,0.72,1.78,1.2,1.6,0.8,2,1,1.48,1.48,1,0.9,1.7,1.7,0.9,73.727295,0
7,Sat,30/09/2017,Bournemouth,Leicester City,1.4,0.6,2017-2018,66,15:00,0,0,7,1642.114746,1715.842041,0.7,1.7,1.833333333,1.066666667,1,2,1.333333333,2,0.72,1.78,1.68,1.24,0.8,2,1.2,1.6,1,1.48,1.48,1,0.9,1.7,1.7,0.9,-73.727295,1
7,Sat,30/09/2017,Watford,West Brom,1.4,1.9,2017-2018,67,15:00,2,2,7,1655.023071,1658.545898,0.8,1.766666667,0.866666667,0.966666667,1.333333333,2.333333333,0.333333333,1.666666667,1.02,1.48,0.86,1.1,1.2,1.4,0.6,1.2,1,1.48,1.48,1,0.9,1.7,1.7,0.9,-3.522827,0
7,Sat,30/09/2017,West Brom,Watford,1.9,1.4,2017-2018,67,15:00,2,2,7,1658.545898,1655.023071,0.866666667,0.966666667,0.8,1.766666667,0.333333333,1.666666667,1.333333333,2.333333333,0.86,1.1,1.02,1.48,0.6,1.2,1.2,1.4,1,1.48,1.48,1,0.9,1.7,1.7,0.9,3.522827,1
7,Sun,01/10/2017,Liverpool,Newcastle Utd,1.3,0.3,2017-2018,68,16:30,1,1,7,1856.852295,1648.844849,1.533333333,1.8,1.5,0.966666667,1.333333333,2.666666667,1,0.666666667,2.04,1.34,1.5,0.76,1.8,1.6,1.2,0.6,1,1.48,1.48,1,0.9,1.7,1.7,0.9,208.007446,0
7,Sun,01/10/2017,Newcastle Utd,Liverpool,0.3,1.3,2017-2018,68,16:30,1,1,7,1648.844849,1856.852295,1.5,0.966666667,1.533333333,1.8,1,0.666666667,1.333333333,2.666666667,1.5,0.76,2.04,1.34,1.2,0.6,1.8,1.6,1,1.48,1.48,1,0.9,1.7,1.7,0.9,-208.007446,1
7,Sun,01/10/2017,Everton,Burnley,1.1,0.4,2017-2018,69,14:15,0,1,7,1742.501465,1665.16687,1.333333333,1.666666667,0.266666667,1.5,0.666666667,2.666666667,0.666666667,0.333333333,1,1.42,0.6,1.54,0.6,2.2,0.6,0.6,1,1.48,1.48,1,0.9,1.7,1.7,0.9,77.334595,1
